,,,,,,,,,,,,,
經濟部商業司公開資料供應清單,,,,,,,,,,,,,
,,,,,,,,,,,,,
製表日期：2015/04/26,,,,,,,,,,,,,
編號,資料集名稱,資料集描述,資料集類型,分類,主要欄位說明,授權方式,授權網址,編碼格式,計費方式,資料集提供機關聯絡人,資料集提供機關聯絡人電話,資料集提供機關聯絡人電子郵件,備註
12,外國公司認許與代表人辦事處現有家數,外國公司認許與代表人辦事處現有家數,Raw Data,公司資料,外國公司在臺認許公司、外國公司代表人辦事處,依經濟部商工行政資料開放平台資料使用規範,http://data.gcis.nat.gov.tw/main/terms,UTF-8,免費,林先生,02-23212200,data.gcis@gmail.com,無
13,公司設立登記清冊(月份),公司設立登記清冊(月份),Raw Data,公司資料,序號、統一編號、登記機關、公司名稱、公司所在地、代表人、資本額、核准設立日期,依經濟部商工行政資料開放平台資料使用規範,無,UTF-8,免費,林先生,02-23212200,data.gcis@gmail.com,無
14,公司變更登記清冊(月份),公司變更登記清冊(月份),Raw Data,公司資料,序號、統一編號、登記機關、公司名稱、公司所在地、代表人、資本額、核准變更日期,依經濟部商工行政資料開放平台資料使用規範,http://data.gcis.nat.gov.tw/main/terms,UTF-8,免費,林先生,02-23212200,data.gcis@gmail.com,無
15,公司解散登記清冊(月份),公司解散登記清冊(月份),Raw Data,公司資料,序號、統一編號、登記機關、公司名稱、公司所在地、代表人、資本額、核准設立日期、核准解散日期,依經濟部商工行政資料開放平台資料使用規範,無,UTF-8,免費,林先生,02-23212200,data.gcis@gmail.com,無
16,商業設立登記清冊(月份),商業設立登記清冊(月份),Raw Data,商業資料,序號、統一編號、商業名稱、商業所在地、資本額、組織型態、負責人、設立日期、核准文號,依經濟部商工行政資料開放平台資料使用規範,http://data.gcis.nat.gov.tw/main/terms,UTF-8,免費,林先生,02-23212200,data.gcis@gmail.com,無
17,商業變更登記清冊(月份),商業變更登記清冊(月份),Raw Data,商業資料,序號、統一編號、商業名稱、商業所在地、資本額、組織型態、負責人、變更日期、核准文號,依經濟部商工行政資料開放平台資料使用規範,無,UTF-8,免費,林先生,02-23212200,data.gcis@gmail.com,無
18,商業歇業登記清冊(月份),商業歇業登記清冊(月份),Raw Data,商業資料,序號、統一編號、商業名稱、商業所在地、資本額、組織型態、負責人、變更日期、核准文號,依經濟部商工行政資料開放平台資料使用規範,http://data.gcis.nat.gov.tw/main/terms,UTF-8,免費,林先生,02-23212200,data.gcis@gmail.com,無
19,公司登記基本資料-應用一(測試),資料來源:公司公示資料,Services,公司資料,統一編號、公司狀況、公司名稱、資本總額（登記資本額）、實收資本額、代表人姓名(註一)、公司所在地、登記機關、核准設立日期、最後核准變更日期、公司撤銷日期、停業核准日期、停業/延展期間(起)、停業/延展期間(迄),依經濟部商工行政資料開放平台資料使用規範,無,UTF-8,免費,林先生,02-23212200,data.gcis@gmail.com,註一: 資料內容有遮蔽功能，只顯示該代表人之姓氏
20,公司登記基本資料-應用二,資料來源:公司公示資料,Services,公司資料,統一編號、公司名稱、公司狀況、最後核准變更日期,依經濟部商工行政資料開放平台資料使用規範,無,UTF-8,免費,林先生,02-23212200,data.gcis@gmail.com,無
21,公司登記基本資料-應用三(測試),資料來源:公司公示資料,Services,公司資料,統一編號、公司名稱、公司狀況、核准設立日期、所營事業資料,依經濟部商工行政資料開放平台資料使用規範,無,UTF-8,免費,林先生,02-23212200,data.gcis@gmail.com,無
22,公司登記關鍵字查詢(測試),資料來源:公司公示資料,Services,公司資料,統一編號、公司狀況、公司名稱、 資本總額（登記資本額）、實收資本額、 代表人姓名(資料內容有遮蔽功能，只顯示該代表人之姓氏)、 公司所在地、登記機關、 核准設立日期、最後核准變更日期,依經濟部商工行政資料開放平台資料使用規範,無,UTF-8,免費,林先生,02-23212200,data.gcis@gmail.com,
23,公司登記資本額查詢(測試),資料來源:公司公示資料,Services,公司資料,統一編號、公司狀況、公司名稱、資本總額（登記資本額）、實收資本額、代表人姓名(資料內容有遮蔽功能，只顯示該代表人之姓氏)、公司所在地、登記機關、核准設立日期、最後核准變更日期,依經濟部商工行政資料開放平台資料使用規範,無,UTF-8,免費,林先生,02-23212200,data.gcis@gmail.com,
24,八大行業公司查詢(測試),資料來源:公司公示資料,Services,公司資料,統一編號、公司狀況、公司名稱、資本總額（登記資本額）、實收資本額、代表人姓名(資料內容有遮蔽功能，只顯示該代表人之姓氏)、公司所在地、登記機關、核准設立日期、最後核准變更日期,依經濟部商工行政資料開放平台資料使用規範,無,UTF-8,免費,林先生,02-23212200,data.gcis@gmail.com,
25,政府輔導商圈名錄,政府輔導商圈名錄,Raw Data,商圈資料,縣市別、商圈名稱、商圈範圍,依經濟部商工行政資料開放平台資料使用規範,無,UTF-8,免費,林先生,02-23212200,data.gcis@gmail.com,
26,商業登記基本資料-應用一,資料來源：商業登記資料,Services,商業資料,登記機關、統一編號、商業名稱、商業所在地、資本額、組織型態、負責人(資料內容有遮蔽功能，只顯示該負責人之姓氏)、核准設立日期、變更日期,依經濟部商工行政資料開放平台資料使用規範,http://data.gcis.nat.gov.tw/main/terms,UTF-8,免費,林先生,02-23212200,data.gcis@gmail.com,
27,商業登記基本資料-應用二,資料來源:商業登記資料,Services,商業資料,登記機關、統一編號、商業名稱、商業所在地、現況、核准設立日期、營業項目、登記機關,依經濟部商工行政資料開放平台資料使用規範,http://data.gcis.nat.gov.tw/main/terms,UTF-8,免費,林先生,02-23212200,data.gcis@gmail.com,
28,商業登記關鍵字查詢,商業登記關鍵字查詢,Raw Data,商業資料,登記機關、商業統一編號、商業名稱、商業所在地、現況、負責人姓名,依經濟部商工行政資料開放平台資料使用規範,無,UTF-8,免費,林先生,02-23212200,data.gcis@gmail.com,
29,統編查公司名稱(測試),統編查公司名稱,Raw Data,公司資料,公司名稱,依經濟部商工行政資料開放平台資料使用規範,無,UTF-8,免費,林先生,02-23212200,data.gcis@gmail.com,
30,統編查商號名稱(測試),統編查商號名稱,Raw Data,商業資料,商號名稱,依經濟部商工行政資料開放平台資料使用規範,無,UTF-8,免費,林先生,02-23212200,data.gcis@gmail.com,
31,商業資本額查詢(測試),商業資本額查詢,Raw Data,商業資料,商業統一編號、商業名稱、現況描述、組織類型描述、核准設立日期、營業項目(文字類),依經濟部商工行政資料開放平台資料使用規範,無,UTF-8,免費,林先生,02-23212200,data.gcis@gmail.com,
32,商業食用油脂製造業(C105010)查詢(測試),商業食用油脂製造業(C105010)查詢,Raw Data,商業資料,商業統一編號、商業名稱、現況描述、組織類型描述、核准設立日期、營業項目(文字類),依經濟部商工行政資料開放平台資料使用規範,無,UTF-8,免費,林先生,02-23212200,data.gcis@gmail.com,
33,公司登記董監事資料集,公司登記董監事資料集,Raw Data,公司資料,職稱、姓名(遮蔽後二字元)、所代表法人、持有股份數,依經濟部商工行政資料開放平台資料使用規範,無,UTF-8,免費,林先生,02-23212200,data.gcis@gmail.com,
